UID          PID    PPID  C STIME TTY          TIME CMD
ubuntu      2128    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-xsettings
ubuntu      2136    1911  0 23:22 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
root        2139       1  0 23:22 ?        00:00:00 /usr/sbin/spice-vdagentd
ubuntu      2155    1911  0 23:22 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
ubuntu      2180    1560  0 23:22 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
colord      2246       1  0 23:22 ?        00:00:00 /usr/libexec/colord
ubuntu      2264    1529  0 23:22 ?        00:00:00 /usr/libexec/gsd-printer
ubuntu      2273    1997  0 23:22 ?        00:00:00 /usr/libexec/ibus-engine-simple
ubuntu      2331    1529  0 23:22 ?        00:00:00 /usr/libexec/gvfsd-metadata
root        2385       1  0 23:22 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyAMA0 vt220
ubuntu      2420    1529  0 23:23 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
ubuntu      2538    1911  0 23:23 ?        00:00:00 update-notifier
root        4054       2  0 23:28 ?        00:00:00 [kworker/0:0-cgroup_destroy]
root        4070       2  0 23:28 ?        00:00:00 [kworker/2:0-events]
root        4123       2  0 23:33 ?        00:00:00 [kworker/3:0-mm_percpu_wq]
ubuntu      4212    1529  0 23:36 ?        00:00:03 /usr/libexec/gnome-terminal-server
ubuntu      4334    4212  0 23:36 pts/0    00:00:00 bash
root        4716       2  0 23:38 ?        00:00:00 [kworker/u8:0-events_unbound]
root        4718       2  0 23:41 ?        00:00:00 [kworker/1:0-cgroup_destroy]
root        4721       2  0 23:42 ?        00:00:00 [kworker/3:1-events]
root        5169       2  0 23:44 ?        00:00:00 [kworker/u8:2-events_unbound]
root        5170       2  0 23:44 ?        00:00:00 [kworker/2:1-events]
ubuntu      6001    4334  0 23:49 pts/0    00:00:00 ps -ef
